777026 | 04BQ06 Jan 14 20:50:40 05 | L01 D1         |  2:25:58.4  -4:30:28 2000 |  300 | r | 1.21 | 1.23 1.27  1163 |P 2 V D|	 2206 |
872455 | 06BQ03 Sep 28 04:26:40 06 | L01 D1         |  2:25:58.4  -4:30:28 2000 |  300 | r | 1.28 | 0.91 0.90   859 |A 3 O Q|	 2828 |
820807 | 05BQ07 Oct 31 21:23:47 05 | L01 D1         |  2:25:58.4  -4:30:28 2000 |  300 | r | 1.48 | 0.91 0.92  1489 |A 5 O D|	 2496 |
872450 | 06BQ03 Sep 28 03:44:11 06 | L01 D1         |  2:25:58.4  -4:30:28 2000 |  360 | i | 1.17 | 0.63 0.64  1956 |A 1 V Q|	 2828 |
864332 | 06BQ01 Sep 01 04:08:00 06 | L01 D1         |  2:25:58.4  -4:30:28 2000 |  360 | z | 1.10 | 0.79 0.82  1568 |P 1 V Q|	 2801 |
777216 | 04BQ06 Jan 15 19:48:08 05 | L01 D1         |  2:25:58.4  -4:30:28 2000 |  360 | z | 1.11 | 0.92 0.87  2932 |P 1 V D|	 2207 |
820820 | 05BQ07 Nov 01 01:18:56 05 | L01 D1         |  2:25:58.4  -4:30:28 2000 |  360 | z | 1.15 | 0.64 0.65  1977 |P 1 V D|	 2497 |
757299 | 04BQ01 Aug 11 04:10:21 04 | L01 D1         |  2:25:58.4  -4:30:28 2000 |  360 | z | 1.18 | 0.59 0.67  1424 |P 1 V D|	 2050 |
934575 | 07BQ02 Aug 08 04:08:15 07 | L01 D1         |  2:25:58.4  -4:30:28 2000 |  360 | z | 1.21 | 0.69 0.73  1426 |P 1 V Q|	 3142 |
830720 | 05BQ11 Dec 21 22:44:42 05 | L01 D1         |  2:25:58.4  -4:30:28 2000 |  360 | z | 1.25 | 0.83 0.81  1976 |P 1 V Q|	 2547 |
948604 | 07BQ06 Oct 18 22:36:24 07 | L01 D1         |  2:25:58.4  -4:30:28 2000 |  360 | z | 1.39 | 0.62 0.64  3828 |P 1 V Q|	 3213 |
948628 | 07BQ06 Oct 19 02:21:59 07 | L01 D1         |  2:25:58.4  -4:30:28 2000 |  420 | r | 1.16 | 0.75 0.76  1528 |P 1 V Q|	 3214 |
947560 | 07BQ06 Oct 11 02:52:28 07 | L01 D1         |  2:25:58.4  -4:30:28 2000 |  420 | r | 1.16 | 1.46 1.41  1179 |P 5 O Q|	 3206 |
947576 | 07BQ06 Oct 11 03:40:01 07 | L01 D1         |  2:25:58.4  -4:30:28 2000 |  420 | r | 1.28 | 1.15 1.16  1177 |P 2 V Q|	 3206 |
934568 | 07BQ02 Aug 08 03:09:48 07 | L01 D1         |  2:25:58.4  -4:30:28 2000 |  420 | r | 1.44 | 0.80 0.83  1192 |P 1 V D|	 3142 |
882864 | 06BQ08 Dec 11 21:26:23 06 | L01 D1         |  2:25:58.4  -4:30:28 2000 |  520 | i | 1.10 | 0.73 0.75  2085 |P 1 V Q|	 2902 |
776453 | 04BQ06 Jan 05 19:59:21 05 | L01 D1         |  2:25:58.4  -4:30:28 2000 |  520 | i | 1.10 | 1.28 1.29  2540 |P 3 O D|	 2197 |
819706 | 05BQ07 Oct 24 00:11:06 05 | L01 D1         |  2:25:58.4  -4:30:28 2000 |  520 | i | 1.11 | 0.57 0.59  3546 |P 1 V D|	 2489 |
830702 | 05BQ11 Dec 21 20:19:43 05 | L01 D1         |  2:25:58.4  -4:30:28 2000 |  520 | i | 1.11 | 0.65 0.65  1767 |P 1 V Q|	 2547 |
871640 | 06BQ03 Sep 21 02:12:36 06 | L01 D1         |  2:25:58.4  -4:30:28 2000 |  520 | i | 1.12 | 0.72 0.73  3333 |P 1 V Q|	 2821 |
